Código e descrição do alimento ,,Código e descrição da preparação,,Energia (kcal),"Proteína (g)","Lipídios totais (g)","Carboidrato (g)",Fibra alimentar total (g)
6703701,Abobrinha,5,Frito(a),42.30,0.91,2.83,4.31,1.40
6703701,Abobrinha,6,Empanado(a)/à milanesa,160.71,4.35,8.92,16.01,1.56
6703701,Abobrinha,7,Refogado(a),42.30,0.91,2.83,4.31,1.40
6703701,Abobrinha,13,Ensopado,42.30,0.91,2.83,4.31,1.40
6703805,Jerimum,1,Cru(a),20.00,0.72,0.07,4.90,1.10
6703805,Jerimum,2,Cozido(a),20.00,0.72,0.07,4.90,1.10
6703901,Abóbora,1,Cru(a),20.00,0.72,0.07,4.90,1.10
6703901,Abóbora,2,Cozido(a),20.00,0.72,0.07,4.90,1.10
6703901,Abóbora,4,Assado(a),20.00,0.72,0.07,4.90,1.10
6703901,Abóbora,5,Frito(a),36.39,0.72,1.92,4.90,1.10
6703901,Abóbora,7,Refogado(a),36.39,0.72,1.92,4.90,1.10
6703901,Abóbora,8,Molho vermelho,20.80,0.84,0.09,5.00,1.18
6703901,Abóbora,13,Ensopado,36.39,0.72,1.92,4.90,1.10
6703901,Abóbora,15,Sopa,31.44,0.95,0.12,7.01,0.71
6703901,Abóbora,99,Não se aplica,20.00,0.72,0.07,4.90,1.10
6704001,Pépino,99,Não se aplica,15.00,0.65,0.11,3.63,1.14
6704101,Chuchu,1,Cru(a),24.00,0.62,0.48,5.09,2.80
6704101,Chuchu,2,Cozido(a),24.00,0.62,0.48,5.09,2.80
6704101,Chuchu,4,Assado(a),24.00,0.76,0.42,5.15,2.54
6704101,Chuchu,7,Refogado(a),49.09,0.62,3.32,5.09,2.80
6704101,Chuchu,8,Molho vermelho,24.00,0.76,0.42,5.15,2.54
6704101,Chuchu,10,Ao alho e óleo,49.09,0.62,3.32,5.09,2.80
6704101,Chuchu,12,Ao vinagrete,24.00,0.62,0.48,5.09,2.80
6704101,Chuchu,13,Ensopado,49.09,0.62,3.32,5.09,2.80
6704101,Chuchu,15,Sopa,31.44,0.95,0.12,7.01,0.71
6704201,Jiló,1,Cru(a),22.00,1.87,0.21,4.51,2.50
6704201,Jiló,2,Cozido(a),22.00,1.87,0.21,4.51,2.50
6704201,Jiló,4,Assado(a),22.00,1.87,0.21,4.51,2.50
6704201,Jiló,5,Frito(a),47.09,1.87,3.05,4.51,2.50
6704201,Jiló,7,Refogado(a),47.09,1.87,3.05,4.51,2.50
6704201,Jiló,11,Com manteiga/óleo,43.19,1.90,2.61,4.51,2.50
6704201,Jiló,13,Ensopado,47.09,1.87,3.05,4.51,2.50
6704201,Jiló,99,Não se aplica,22.00,1.87,0.21,4.51,2.50
6704301,Maxixe,1,Cru(a),14.00,1.40,0.10,2.70,2.20
6704301,Maxixe,2,Cozido(a),14.00,0.40,0.20,3.04,1.00
6704301,Maxixe,7,Refogado(a),36.94,0.40,2.80,3.04,1.00
6704301,Maxixe,13,Ensopado,36.94,0.40,2.80,3.04,1.00
6704306,Pepininho (maxixe),2,Cozido(a),14.00,0.40,0.20,3.04,1.00
6704306,Pepininho (maxixe),12,Ao vinagrete,14.00,0.40,0.20,3.04,1.00
6704401,Palmito in natura,1,Cru(a),28.00,2.52,0.62,4.62,2.40
6704401,Palmito in natura,2,Cozido(a),28.00,2.52,0.62,4.62,2.40
6704401,Palmito in natura,7,Refogado(a),28.00,2.52,0.62,4.62,2.40
6704401,Palmito in natura,13,Ensopado,28.00,2.52,0.62,4.62,2.40
6704409,Guariroba (palmito in natura),2,Cozido(a),28.00,2.52,0.62,4.62,2.40
6704409,Guariroba (palmito in natura),7,Refogado(a),28.00,2.52,0.62,4.62,2.40
6704409,Guariroba (palmito in natura),8,Molho vermelho,28.00,2.52,0.62,4.62,2.40
6704410,Gueroba (palmito in natura),2,Cozido(a),28.00,2.52,0.62,4.62,2.40
6704410,Gueroba (palmito in natura),7,Refogado(a),28.00,2.52,0.62,4.62,2.40
6704501,Pimentão,99,Não se aplica,20.00,0.86,0.17,4.64,1.70
6705001,Quiabo,1,Cru(a),22.00,1.87,0.21,4.51,2.50
6705001,Quiabo ,2,Cozido(a),22.00,1.87,0.21,4.51,2.50
6705001,Quiabo ,5,Frito(a),47.09,1.87,3.05,4.51,2.50
6705001,Quiabo ,6,Empanado(a)/à milanesa,47.09,1.87,3.05,4.51,2.50
6705001,Quiabo ,7,Refogado(a),47.09,1.87,3.05,4.51,2.50
6705001,Quiabo ,13,Ensopado,47.09,1.87,3.05,4.51,2.50
6705001,Quiabo ,99,Não se aplica,22.00,1.87,0.21,4.51,2.50
6705101,Tomate,99,Não se aplica,18.00,0.88,0.20,3.92,1.20
6705201,Vagem,1,Cru(a),35.00,1.89,0.28,7.88,3.20
6705201,Vagem,2,Cozido(a),35.00,1.89,0.28,7.88,3.20
6705201,Vagem,7,Refogado(a),67.12,1.89,3.91,7.88,3.20
6705201,Vagem,11,Com manteiga/óleo,67.12,1.89,3.91,7.88,3.20
6705201,Vagem,13,Ensopado,67.12,1.89,3.91,7.88,3.20
6705201,Vagem,99,Não se aplica,35.00,1.89,0.28,7.88,3.20
6705301,Cogumelo in natura,99,Não se aplica,28.00,2.17,0.47,5.29,2.20
6705401,Berinjela,1,Cru(a),32.90,0.78,0.22,8.21,2.35
6705401,Berinjela,2,Cozido(a),35.00,0.83,0.23,8.73,2.50
6705401,Berinjela,4,Assado(a),35.00,0.83,0.23,8.73,2.50
6705401,Berinjela,5,Frito(a),75.55,0.83,4.82,8.73,2.50
6705401,Berinjela,6,Empanado(a)/à milanesa,164.87,3.69,10.18,15.86,2.71
6705401,Berinjela,7,Refogado(a),75.55,0.83,4.82,8.73,2.50
6705401,Berinjela ,12,Ao vinagrete,35.00,0.83,0.23,8.73,2.50
6705401,Berinjela,13,Ensopado,75.55,0.83,4.82,8.73,2.50
6705401,Berinjela,99,Não se aplica,35.00,0.83,0.23,8.73,2.50
6705501,Ervilha em vagem,2,Cozido(a),67.09,3.27,3.07,7.05,2.80
6705501,Ervilha em vagem,7,Refogado(a),67.09,3.27,3.07,7.05,2.80
6705701,Cebola,1,Cru(a),40.00,1.10,0.10,9.34,1.93
6705701,Cebola,2,Cozido(a),44.00,1.36,0.19,10.15,1.40
6705701,Cebola,3,Grelhado(a)/brasa/churrasco,44.00,1.36,0.19,10.15,1.40
6705701,Cebola,4,Assado(a),44.00,1.36,0.19,10.15,1.40
6705701,Cebola,5,Frito(a),63.12,1.36,2.35,10.15,1.40
6705701,Cebola,7,Refogado(a),63.12,1.36,2.35,10.15,1.40
6705701,Cebola,8,Molho vermelho,40.00,1.35,0.19,9.20,1.42
6705701,Cebola,11,Com manteiga/óleo,60.15,1.38,2.02,10.15,1.40
6705701,Cebola,12,Ao vinagrete,40.00,1.10,0.10,9.34,1.93
6705701,Cebola,99,Não se aplica,40.00,1.10,0.10,9.34,1.93
6705801,Catalonha,7,Refogado(a),42.94,1.88,2.68,4.13,2.10
6706101,Jardineira (seleta),99,Não se aplica,47.00,2.53,0.26,9.06,2.80
6706102,Seleta (jardineira),99,Não se aplica,47.00,2.53,0.26,9.06,2.80
6706201,Alho,99,Não se aplica,149.00,6.36,0.50,33.06,2.10
6706301,Alho-poró,99,Não se aplica,54.48,0.81,2.86,7.62,1.00
6707301,Broto de alfafa,99,Não se aplica,23.00,3.99,0.69,2.10,1.90
6707801,Alface orgânica,99,Não se aplica,15.00,1.36,0.15,2.79,1.30
6707901,Tomate orgânico,99,Não se aplica,18.00,0.88,0.20,3.92,1.20
6708001,Pimentão orgânico,99,Não se aplica,20.00,0.86,0.17,4.64,1.70
6709701,Orégano,99,Não se aplica,306.00,11.00,10.25,64.43,42.80
6801017,Pacová,99,Não se aplica,78.00,1.20,0.10,20.30,2.00
6801101,"Banana (ouro, prata, d´água, da terra, etc.)",1,Cru(a),89.00,1.09,0.33,22.84,2.60
6801101,"Banana (ouro, prata, d´água, da terra, etc.)",2,Cozido(a),89.00,1.09,0.33,22.84,2.60
6801101,"Banana (ouro, prata, d´água, da terra, etc.)",4,Assado(a),89.00,1.09,0.33,22.84,2.60
6801101,"Banana (ouro, prata, d´água, da terra, etc.)",5,Frito(a),213.11,1.22,13.25,25.47,2.90
6801101,"Banana (ouro, prata, d´água, da terra, etc.)",6,Empanado(a)/à milanesa,213.11,1.22,13.25,25.47,2.90
6801101,"Banana (ouro, prata, d´água, da terra, etc.)",11,Com manteiga/óleo,195.41,1.33,11.25,25.48,2.90
6801101,"Banana (ouro, prata, d´água, da terra, etc.)",13,Ensopado,89.00,1.09,0.33,22.84,2.60
6801101,"Banana (ouro, prata, d´água, da terra, etc.)",14,Mingau,112.04,2.29,1.72,23.18,1.54
6801101,"Banana (ouro, prata, d´água, da terra, etc.)",15,Sopa,112.04,2.29,1.72,23.18,1.54
6801101,"Banana (ouro, prata, d´água, da terra, etc.)",99,Não se aplica,89.00,1.09,0.33,22.84,2.60
6801801,"Laranja (pera, seleta, lima, da terra, etc.)",99,Não se aplica,47.00,0.94,0.12,11.75,2.35
6801901,Lima,99,Não se aplica,47.00,0.94,0.12,11.75,2.35
6802001,"Limão (comum, galego, etc.)",99,Não se aplica,30.00,0.70,0.20,10.54,2.80
6802201,Tangerina,99,Não se aplica,53.00,0.81,0.31,13.34,1.80
6802202,Mexerica,99,Não se aplica,53.00,0.81,0.31,13.34,1.80
6802217,Bergamota,99,Não se aplica,53.00,0.81,0.31,13.34,1.80
6802218,Mimosa,99,Não se aplica,53.00,0.81,0.31,13.34,1.80
6802223,Tanja,99,Não se aplica,53.00,0.81,0.31,13.34,1.80
6802227,Maricota,99,Não se aplica,53.00,0.81,0.31,13.34,1.80
6802407,Laranjinha japonesa,99,Não se aplica,47.00,0.94,0.12,11.75,2.35
6802501,Cana-de-açúcar,99,Não se aplica,73.58,-,0.05,19.97,-
6802601,Abacaxi,99,Não se aplica,48.00,0.54,0.12,12.63,1.40
6802602,Ananás,99,Não se aplica,48.00,0.54,0.12,12.63,1.40
6802701,Abacate,99,Não se aplica,120.00,2.23,10.06,7.82,5.60
6802801,Caqui,99,Não se aplica,70.00,0.58,0.19,18.59,3.60
6802901,Figo,99,Não se aplica,74.00,0.75,0.30,19.18,2.90
6803001,Maçã,99,Não se aplica,52.00,0.26,0.17,13.81,2.40
6803101,Mamão,99,Não se aplica,39.00,0.61,0.14,9.81,1.80
6803108,Papaia,99,Não se aplica,39.00,0.61,0.14,9.81,1.80
6803201,Manga,99,Não se aplica,65.00,0.51,0.27,17.00,1.76
6803215,Manguito,99,Não se aplica,65.00,0.51,0.27,17.00,1.76
6803301,Maracujá,99,Não se aplica,97.00,2.20,0.70,23.38,10.40
6803401,Melancia,99,Não se aplica,30.00,0.61,0.15,7.55,0.40
6803501,Melão,99,Não se aplica,36.00,0.54,0.14,9.09,0.80
6803601,pera,99,Não se aplica,58.00,0.38,0.12,15.46,3.16
6803701,Pêssego,99,Não se aplica,39.00,0.91,0.25,9.54,1.50
6803801,Fruta-de-conde,99,Não se aplica,74.00,1.65,0.62,17.70,2.30
6803802,Pinha (fruta-de-conde),99,Não se aplica,74.00,1.65,0.62,17.70,2.30
6803803,Ata,99,Não se aplica,74.00,1.65,0.62,17.70,2.30
6803901,Uva,99,Não se aplica,69.00,0.72,0.16,18.10,0.90
6803912,Uva passa,99,Não se aplica,299.00,3.07,0.46,79.18,3.70
6804001,Jenipapo ,99,Não se aplica,113.00,5.20,0.30,25.70,9.40
6804101,Jaca,99,Não se aplica,94.00,1.47,0.30,24.01,1.60
6804201,Goiaba,99,Não se aplica,68.00,2.55,0.95,14.32,5.40
6804203,Araçá-açu (goiaba),99,Não se aplica,68.00,2.55,0.95,14.32,5.40
6804301,Ameixa,99,Não se aplica,46.00,0.70,0.28,11.42,1.40
6804401,Caju,99,Não se aplica,43.00,1.00,0.30,10.30,1.70
6804501,Cereja,99,Não se aplica,63.00,1.06,0.20,16.01,2.10
6804601,Cajá-manga,99,Não se aplica,46.00,1.30,-,11.40,2.60
6804602,Cajarana,99,Não se aplica,46.00,0.20,0.10,12.40,1.10
6804701,Taperebá,99,Não se aplica,70.00,0.80,2.10,13.80,1.00
6804702,Acaja (taberebá),99,Não se aplica,46.00,1.30,-,11.40,2.60
6804801,Carambola,99,Não se aplica,31.00,1.04,0.33,6.73,2.80
6804901,Jabuticaba,99,Não se aplica,73.00,0.66,0.50,18.40,7.00
6805001,Graviola,99,Não se aplica,62.00,0.80,0.20,15.80,1.90
6805201,Morango,99,Não se aplica,32.00,0.67,0.30,7.68,2.00
6805301,Jambo,99,Não se aplica,27.00,0.90,0.10,6.50,5.10
6805401,Atemoia ,99,Não se aplica,74.00,1.65,0.62,17.70,2.30
6805601,Mangaba,99,Não se aplica,43.00,0.70,0.30,10.50,0.80
6805701,Araçá,99,Não se aplica,68.00,2.55,0.95,14.32,5.40
6805801,Nêspera,99,Não se aplica,47.00,0.43,0.20,12.14,1.70
6805901,Fruta-pão,99,Não se aplica,103.00,1.07,0.23,27.12,4.90
6806001,Sapoti,99,Não se aplica,96.00,0.70,0.10,25.90,9.90
6806101,Uxi,99,Não se aplica,252.00,2.20,10.10,38.20,20.50
6806201,Tamarindo,99,Não se aplica,239.00,2.80,0.60,62.50,5.10
6806301,Cacau,99,Não se aplica,74.00,1.00,0.10,19.40,2.20
6806401,Pitomba ,99,Não se aplica,66.00,0.83,0.44,16.53,1.30
6806501,Bacuri,99,Não se aplica,105.00,1.90,2.00,22.80,7.40
6806601,Ingá,99,Não se aplica,60.00,1.00,0.10,15.50,1.20
6806701,Pequi,99,Não se aplica,152.00,1.50,13.40,6.30,4.70
6806801,Pitanga ,99,Não se aplica,41.00,0.90,0.20,10.20,3.20
6806901,Ciriguela,99,Não se aplica,76.00,1.40,0.40,18.90,3.90
6807001,Murici,99,Não se aplica,66.00,0.90,1.30,14.40,2.20
6807101,Umbu,99,Não se aplica,37.00,0.80,-,9.40,2.00
6807103,Imbu,99,Não se aplica,37.00,0.80,-,9.40,2.00
6807202,Biribá,99,Não se aplica,74.00,1.65,0.62,17.70,2.30
6807301,Cupuaçu,99,Não se aplica,49.00,1.20,1.00,10.40,3.10
6807401,Nectarina,99,Não se aplica,44.00,1.06,0.32,10.55,1.70
6807501,Mari,99,Não se aplica,281.10,2.70,21.10,20.10,-
6807601,Romã,99,Não se aplica,56.00,0.40,-,15.10,0.40
6807701,Acerola,99,Não se aplica,32.00,0.40,0.30,7.69,1.10
6807801,Kiwi,99,Não se aplica,61.00,1.14,0.52,14.66,3.00
6808001,Abiu,99,Não se aplica,62.00,0.80,0.70,14.90,1.70
6808201,Jurubeba,99,Não se aplica,126.00,4.40,3.90,23.10,1.20
6808401,Fruta (não especificada),99,Não se aplica,89.00,1.09,0.33,22.84,2.60
6808601,Maçã orgânica,99,Não se aplica,52.00,0.26,0.17,13.81,2.40
6808901,Acerola orgânica,99,Não se aplica,32.00,0.40,0.30,7.69,1.10
6809901,Amora,99,Não se aplica,43.00,1.39,0.49,9.61,5.30
6810201,Jamelão (jamburão),99,Não se aplica,73.00,0.66,0.50,18.40,7.00
6900302,Demerara,99,Não se aplica,387.00,-,-,99.98,-
6900304,Açúcar mascavo,99,Não se aplica,380.00,0.12,-,98.09,-
6900401,Rapadura,99,Não se aplica,296.00,-,-,76.60,-
6900402,Alfenim de cana,99,Não se aplica,296.00,-,-,76.60,-
6900403,Batida (rapadura),99,Não se aplica,380.00,0.12,-,98.09,-
6900501,Sorvete de qualquer sabor industrializado,99,Não se aplica,206.00,3.60,11.00,25.13,0.87
6900502,Picolé de qualquer sabor industrializado,99,Não se aplica,79.00,-,0.24,19.23,-
6900601,Chiclete,99,Não se aplica,396.00,-,-,98.90,0.10
6900603,Bala,99,Não se aplica,394.00,-,0.20,98.00,-
6900604,Caramelo (bala),99,Não se aplica,382.00,4.60,8.10,77.00,-
6900605,Drops,99,Não se aplica,394.00,-,0.20,98.00,-
6900606,Pastilha,99,Não se aplica,396.00,-,-,98.90,0.10
6900607,Pirulito,99,Não se aplica,394.00,-,0.20,98.00,-
6900609,Goma de mascar,99,Não se aplica,396.00,-,-,98.90,0.10
6900610,Jujuba,99,Não se aplica,375.00,-,0.05,93.55,0.20
6900701,Tablete de chocolate,99,Não se aplica,535.00,7.65,29.66,59.40,3.40
6900702,Barra de chocolate,99,Não se aplica,535.00,7.65,29.66,59.40,3.40
6900706,Confete,99,Não se aplica,492.00,4.33,21.13,71.19,2.80
6900801,Chocolate em pó de qualquer marca,99,Não se aplica,364.24,2.83,3.55,85.53,1.66
6900818,Ovomaltine,99,Não se aplica,388.00,9.17,5.19,75.13,1.98
6900821,Achocolatado em pó,99,Não se aplica,400.00,4.55,2.27,90.28,4.50
6900822,Toddynho,99,Não se aplica,83.32,3.18,3.40,10.38,0.80
6900901,Bombom de qualquer marca,99,Não se aplica,373.00,-,0.02,93.18,-
6900904,Trufa ,99,Não se aplica,487.87,3.57,36.26,49.06,4.55
6901001,Geleia de frutas de qualquer marca ou sabor,99,Não se aplica,278.00,0.37,0.07,68.86,1.10
6901002,Mousse de qualquer sabor (Geleia) ,99,Não se aplica,331.89,5.09,21.87,32.19,1.18
6901101,Geleia de mocotó,99,Não se aplica,120.25,3.04,-,27.99,-
6901201,Doce de frutas em pasta de qualquer sabor,99,Não se aplica,291.30,0.77,0.29,74.28,1.62
6901203,Pasta de amendoim,99,Não se aplica,588.00,25.09,50.39,19.56,6.00
6901204,Pessegada,99,Não se aplica,77.00,0.54,0.14,19.79,2.20
6901206,Marmelada,99,Não se aplica,278.00,0.37,0.07,68.86,1.10
6901209,Figada,99,Não se aplica,88.00,0.38,0.10,22.90,2.20
6901211,Goiabada,99,Não se aplica,291.30,0.77,0.29,74.28,1.62
6901214,Caju em pasta,99,Não se aplica,291.30,0.77,0.29,74.28,1.62
6901224,Mariola,99,Não se aplica,291.30,0.77,0.29,74.28,1.62
6901301,Doce de frutas em calda de qualquer sabor,99,Não se aplica,77.00,0.54,0.14,19.79,2.20
6901401,Doce de frutas cristalizado de qualquer sabor,99,Não se aplica,291.30,0.77,0.29,74.28,1.62
6901501,Melado,99,Não se aplica,296.00,-,-,76.60,-
6901602,Mel ,99,Não se aplica,304.00,0.30,-,82.40,0.20
6901701,Gelatina de qualquer sabor,99,Não se aplica,278.00,0.37,0.07,68.86,1.10
6901801,Adoçante artificial,99,Não se aplica,-,-,-,-,-
6902004,Merengue,99,Não se aplica,358.26,6.21,0.10,85.89,0.00
6902301,Schimier de cana,99,Não se aplica,296.00,-,-,76.60,-
6902401,Fruta seca ou desidratada,99,Não se aplica,240.00,2.18,0.38,63.88,7.10
6902402,Passa,99,Não se aplica,299.00,3.07,0.46,79.18,3.70
6902601,Pudim de qualquer sabor,99,Não se aplica,131.15,5.58,5.07,15.44,-
6902607,Danette pudim,99,Não se aplica,131.15,5.58,5.07,15.44,-
6902701,Manjar,99,Não se aplica,284.98,8.20,10.74,40.14,0.34
6902901,Cuscuz,99,Não se aplica,128.30,4.35,0.22,26.42,1.71
6902902,Cuscuz de tapioca,99,Não se aplica,116.99,4.33,4.10,15.51,0.03
6903001,Maria-mole,99,Não se aplica,444.92,1.64,19.94,68.84,2.59
6903101,Cocada,99,Não se aplica,404.80,1.01,12.46,75.65,1.58
6903102,Quebra-queixo,99,Não se aplica,404.80,1.01,12.46,75.65,1.58
6903201,Doce de amendoim,99,Não se aplica,451.58,11.16,23.89,55.29,3.73
6903202,Pé de moleque,99,Não se aplica,474.00,9.10,17.91,69.20,2.42
6903203,Paçoca,99,Não se aplica,472.17,10.35,21.53,64.04,3.89
6903204,Torrão de amendoim,99,Não se aplica,460.34,11.01,24.64,56.27,6.13
6903205,Paçoquinha de amendoim,99,Não se aplica,472.17,10.35,21.53,64.04,3.89
6903207,Amendoim caramelizado,99,Não se aplica,474.00,9.10,17.91,69.20,2.42
6903208,Amendoim amanteigado,99,Não se aplica,567.00,25.80,49.24,16.13,8.50
6903209,Amendoim achocolatado,99,Não se aplica,519.00,13.10,33.50,49.70,4.70
6903303,Amendoim apimentado,99,Não se aplica,567.00,25.80,49.24,16.13,8.50
6903304,Amendoim cozido,99,Não se aplica,318.00,13.50,22.01,21.26,8.80
6903601,Brigadeiro,99,Não se aplica,334.48,7.52,10.14,54.86,0.23
6903701,Bomba de qualquer tipo,99,Não se aplica,339.26,6.32,26.93,18.55,0.54
6903801,Mil folhas,99,Não se aplica,440.33,2.36,29.03,43.22,0.43
6903901,Queijadinha,99,Não se aplica,404.80,1.01,12.46,75.65,1.58
6904101,Doce à base de ovos,99,Não se aplica,131.15,5.58,5.07,15.44,-
6904104,Caçarola italiana,99,Não se aplica,284.98,8.20,10.74,40.14,0.34
6904105,Quindim,99,Não se aplica,131.15,5.58,5.07,15.44,-
6904108,Fios de ovos,99,Não se aplica,131.15,5.58,5.07,15.44,-
6904201,Doce à base de leite,99,Não se aplica,319.70,7.88,8.66,54.18,-
6904202,Pavê de qualquer sabor,99,Não se aplica,306.43,4.93,22.24,21.59,0.36
6904203,Ambrosia,99,Não se aplica,144.23,4.09,3.84,23.88,0.26
6904204,Leite geleificado,99,Não se aplica,131.15,5.58,5.07,15.44,-
6904205,Chandele de qualquer sabor,99,Não se aplica,131.15,5.58,5.07,15.44,-
6904302,Mumu ,99,Não se aplica,319.70,7.88,8.66,54.18,-
6904401,Canudinho recheado,99,Não se aplica,123.26,2.43,4.50,21.33,2.22
6904501,Sarolho,99,Não se aplica,336.00,2.00,-,82.00,-
6904502,Beiju,99,Não se aplica,336.00,2.00,-,82.00,-
6904601,Schimier de fruta (exceto de cana),99,Não se aplica,278.00,0.37,0.07,68.86,1.10
6904701,Beijo de moça,99,Não se aplica,387.00,-,-,99.98,-
6904801,Picolé ensacado,99,Não se aplica,79.00,-,0.24,19.23,-
6904807,Geladinho,99,Não se aplica,122.69,0.14,0.09,32.51,0.45
6905001,Churro,99,Não se aplica,401.66,3.00,23.44,45.94,0.81
6905101,Pamonha,99,Não se aplica,171.00,2.60,4.80,30.70,2.40
6905401,Algodão-doce,99,Não se aplica,387.00,-,-,99.98,-
6905603,Io-Iô crem (chocolate em creme),99,Não se aplica,350.00,4.60,8.90,62.90,2.80
6905801,Ovo de páscoa,99,Não se aplica,535.00,7.65,29.66,59.40,3.40
6905804,Kinder ovo,99,Não se aplica,535.00,7.65,29.66,59.40,3.40
6905901,Torrone,99,Não se aplica,460.34,11.01,24.64,56.27,6.13
6906001,Arroz-doce,99,Não se aplica,108.49,3.05,2.34,18.77,0.10
6906404,Polpa de coco,99,Não se aplica,402.00,3.80,41.70,9.80,5.00
6906501,Diet shake,99,Não se aplica,335.52,19.19,1.87,69.94,7.39
6906502,Concentrado alimentar diet shake,99,Não se aplica,335.52,19.19,1.87,69.94,7.39
6906602,Açúcar ,99,Não se aplica,387.00,-,-,99.98,-
6907001,Açúcar light,99,Não se aplica,400.00,-,-,100.00,-
6907201,Barra de cereais,99,Não se aplica,352.92,3.17,8.55,69.44,2.32
6907202,Barra de cereais salgada,99,Não se aplica,352.92,3.17,8.55,69.44,2.32
6907203,Barra de cereais doce,99,Não se aplica,352.92,3.17,8.55,69.44,2.32
6907301,Sobremesa de qualquer tipo (exceto infantil),99,Não se aplica,131.15,5.58,5.07,15.44,-
6907401,Rabanada,99,Não se aplica,293.00,4.70,16.60,31.30,0.50
6907501,Milk shake ,99,Não se aplica,161.09,3.11,6.43,23.49,0.76
6907901,Geleia diet,99,Não se aplica,52.64,0.47,0.17,12.72,1.40
6908001,Doce de frutas diet,99,Não se aplica,52.64,0.47,0.17,12.72,1.40
6908401,Pastéis de santa clara,99,Não se aplica,131.15,5.58,5.07,15.44,-
6908501,Suspiro,99,Não se aplica,358.26,6.21,0.10,85.89,0.00
6909301,Doce de frutas cristalizado de qualquer sabor diet,99,Não se aplica,52.64,0.47,0.17,12.72,1.40
6909601,Sorvete de qualquer sabor industrializado light,99,Não se aplica,188.99,4.43,7.67,26.15,0.60
6909701,Sorvete de qualquer sabor industrializado diet,99,Não se aplica,190.00,3.17,12.70,15.87,4.80
6909803,Bala light,99,Não se aplica,235.00,-,-,95.00,-
6909901,Chiclete diet,99,Não se aplica,240.00,-,-,100.00,-
6909903,Bala diet,99,Não se aplica,235.00,-,-,95.00,-
6910002,Barra de chocolate light,99,Não se aplica,539.79,10.58,41.64,40.42,4.32
6910102,Barra de chocolate diet,99,Não se aplica,539.79,10.58,41.64,40.42,4.32
6910221,Achocolatado em pó light,99,Não se aplica,337.70,29.42,2.39,55.30,4.43
6910321,Achocolatado em pó diet,99,Não se aplica,337.70,29.42,2.39,55.30,4.43
6910322,Toddynho diet,99,Não se aplica,73.29,3.48,3.51,7.09,0.39
6910401,Bombom de qualquer marca light,99,Não se aplica,373.00,-,0.02,93.18,-
6910501,Bombom de qualquer marca diet,99,Não se aplica,373.00,-,0.02,93.18,-
6910502,Bombom caramelizado de qualquer marca diet,99,Não se aplica,373.00,-,0.02,93.18,-
6910601,Geleia de frutas de qualquer marca ou sabor light,99,Não se aplica,179.01,0.36,0.05,46.13,0.35
6910604,Geleia light,99,Não se aplica,179.01,0.36,0.05,46.13,0.35
6910605,Geleia de frutas light,99,Não se aplica,179.01,0.36,0.05,46.13,0.35
6910701,Doce de frutas em barra ou pasta light,99,Não se aplica,179.01,0.36,0.05,46.13,0.35
6910702,Doce de frutas em pasta light,99,Não se aplica,179.01,0.36,0.05,46.13,0.35
6910801,Pudim de qualquer sabor light,99,Não se aplica,119.15,5.68,3.55,15.75,-
6910808,Pudim danette light,99,Não se aplica,119.15,5.68,3.55,15.75,-
6910901,Pudim de qualquer sabor diet,99,Não se aplica,119.15,5.68,3.55,15.75,-
6911201,Doce de leite light,99,Não se aplica,292.29,7.58,3.62,58.98,-
6911301,Doce de leite diet,99,Não se aplica,292.29,7.58,3.62,58.98,-
6912501,Barra de cereais diet,99,Não se aplica,403.45,5.56,5.44,86.36,7.20
6912502,Barra de cereais doce diet,99,Não se aplica,403.45,5.56,5.44,86.36,7.20
6912801,Milk shake diet,99,Não se aplica,335.52,19.19,1.87,69.94,7.39
6913001,Cocada diet,99,Não se aplica,404.80,1.01,12.46,75.65,1.58
6913101,Doce de amendoim diet,99,Não se aplica,599.00,28.03,52.50,15.26,9.40
6913103,Paçoca diet,99,Não se aplica,599.00,28.03,52.50,15.26,9.40
6913108,Amendoim amanteigado diet,99,Não se aplica,477.86,7.09,21.64,64.64,2.96
6913801,Doce à base de leite diet,99,Não se aplica,292.29,7.58,3.62,58.98,-
6913901,Gelatina de qualquer sabor light,99,Não se aplica,179.01,0.36,0.05,46.13,0.35
6914001,Adoçante light,99,Não se aplica,365.00,2.17,-,89.08,-
6914002,Adoçante em pó light,99,Não se aplica,365.00,2.17,-,89.08,-
6914003,Adoçante liquido light,99,Não se aplica,-,-,-,-,-
7001501,Mostarda molho,99,Não se aplica,67.00,4.37,4.01,5.33,3.30
7002304,Hortelã,99,Não se aplica,1.00,-,-,0.20,-
7002401,Alcaparra em conserva,99,Não se aplica,23.00,2.36,0.86,4.89,3.20
7002601,Coentro,99,Não se aplica,279.00,21.93,4.78,52.10,10.40
7003601,Molho de soja,99,Não se aplica,53.00,6.28,0.04,7.61,0.80
7003604,Shoyo,99,Não se aplica,53.00,6.28,0.04,7.61,0.80
7003801,Leite de coco,99,Não se aplica,202.46,1.61,20.85,5.59,0.91
7004301,Maionese (molho),99,Não se aplica,261.05,0.47,23.33,13.38,0.06
7004701,Massa de tomate,99,Não se aplica,38.00,1.65,0.21,8.98,1.90
7004801,Molho de tomate,99,Não se aplica,24.00,1.32,0.18,5.38,1.50
7004802,Ketchup,99,Não se aplica,97.00,1.74,0.31,25.15,0.30
7004803,Catchup,99,Não se aplica,97.00,1.74,0.31,25.15,0.30
